name|polygon
Belgium|{\"type\": \"MultiPolygon\", \"coordinates\": [[[[2.51357303225, 49.5294835476], [6.15665815596, 49.5294835476], [6.15665815596, 51.4750237087], [2.51357303225, 51.4750237087], [2.51357303225, 49.5294835476]]]]}
France|{\"type\": \"MultiPolygon\", \"coordinates\": [[[[-54.5247541978, 2.05338918702], [9.56001631027, 2.05338918702], [9.56001631027, 51.1485061713], [-54.5247541978, 51.1485061713], [-54.5247541978, 2.05338918702]]]]}
Bulgaria|{\"type\": \"MultiPolygon\", \"coordinates\": [[[[22.3805257504, 41.2344859889], [28.5580814959, 41.2344859889], [28.5580814959, 44.2349230007], [22.3805257504, 44.2349230007], [22.3805257504, 41.2344859889]]]]}
Bosnia and Herz.|{\"type\": \"MultiPolygon\", \"coordinates\": [[[[15.7500260759, 42.65], [19.59976, 42.65], [19.59976, 45.2337767604], [15.7500260759, 45.2337767604], [15.7500260759, 42.65]]]]}
Finland|{\"type\": \"MultiPolygon\", \"coordinates\": [[[[20.6455928891, 59.846373196], [31.5160921567, 59.846373196], [31.5160921567, 70.1641930203], [20.6455928891, 70.1641930203], [20.6455928891, 59.846373196]]]]}
Belarus|{\"type\": \"MultiPolygon\", \"coordinates\": [[[[23.1994938494, 51.3195034857], [32.6936430193, 51.3195034857], [32.6936430193, 56.1691299506], [23.1994938494, 56.1691299506], [23.1994938494, 51.3195034857]]]]}
Russia|{\"type\": \"MultiPolygon\", \"coordinates\": [[[[-180.0, 41.151416124], [180.0, 41.151416124], [180.0, 81.2504], [-180.0, 81.2504], [-180.0, 41.151416124]]]]}
Netherlands|{\"type\": \"MultiPolygon\", \"coordinates\": [[[[3.31497114423, 50.803721015], [7.09205325687, 50.803721015], [7.09205325687, 53.5104033474], [3.31497114423, 53.5104033474], [3.31497114423, 50.803721015]]]]}
Norway|{\"type\": \"MultiPolygon\", \"coordinates\": [[[[4.99207807783, 58.0788841824], [31.29341841, 58.0788841824], [31.29341841, 80.6571442736], [4.99207807783, 80.6571442736], [4.99207807783, 58.0788841824]]]]}
Romania|{\"type\": \"MultiPolygon\", \"coordinates\": [[[[20.2201924985, 43.6884447292], [29.62654341, 43.6884447292], [29.62654341, 48.2208812526], [20.2201924985, 48.2208812526], [20.2201924985, 43.6884447292]]]]}
Switzerland|{\"type\": \"MultiPolygon\", \"coordinates\": [[[[6.02260949059, 45.7769477403], [10.4427014502, 45.7769477403], [10.4427014502, 47.8308275417], [6.02260949059, 47.8308275417], [6.02260949059, 45.7769477403]]]]}
Greece|{\"type\": \"MultiPolygon\", \"coordinates\": [[[[20.1500159034, 34.9199876979], [26.6041955909, 34.9199876979], [26.6041955909, 41.8269046087], [20.1500159034, 41.8269046087], [20.1500159034, 34.9199876979]]]]}
Czech Rep.|{\"type\": \"MultiPolygon\", \"coordinates\": [[[[12.2401111182, 48.5553052842], [18.8531441586, 48.5553052842], [18.8531441586, 51.1172677679], [12.2401111182, 51.1172677679], [12.2401111182, 48.5553052842]]]]}
Cyprus|{\"type\": \"MultiPolygon\", \"coordinates\": [[[[32.2566671079, 34.5718694118], [34.0048808123, 34.5718694118], [34.0048808123, 35.1731247015], [32.2566671079, 35.1731247015], [32.2566671079, 34.5718694118]]]]}
United Kingdom|{\"type\": \"MultiPolygon\", \"coordinates\": [[[[-7.57216793459, 49.959999905], [1.68153079591, 49.959999905], [1.68153079591, 58.6350001085], [-7.57216793459, 58.6350001085], [-7.57216793459, 49.959999905]]]]}
Slovakia|{\"type\": \"MultiPolygon\", \"coordinates\": [[[[16.8799829444, 47.7584288601], [22.5581376482, 47.7584288601], [22.5581376482, 49.5715740017], [16.8799829444, 49.5715740017], [16.8799829444, 47.7584288601]]]]}
Slovenia|{\"type\": \"MultiPolygon\", \"coordinates\": [[[[13.6981099789, 45.4523163926], [16.5648083839, 45.4523163926], [16.5648083839, 46.8523859727], [13.6981099789, 46.8523859727], [13.6981099789, 45.4523163926]]]]}
Kazakhstan|{\"type\": \"MultiPolygon\", \"coordinates\": [[[[46.4664457538, 40.6623245306], [87.3599703308, 40.6623245306], [87.3599703308, 55.3852501491], [46.4664457538, 55.3852501491], [46.4664457538, 40.6623245306]]]]}
Sweden|{\"type\": \"MultiPolygon\", \"coordinates\": [[[[11.0273686052, 55.3617373725], [23.9033785336, 55.3617373725], [23.9033785336, 69.1062472602], [11.0273686052, 69.1062472602], [11.0273686052, 55.3617373725]]]]}
Denmark|{\"type\": \"MultiPolygon\", \"coordinates\": [[[[8.08997684086, 54.8000145534], [12.6900061378, 54.8000145534], [12.6900061378, 57.730016588], [8.08997684086, 57.730016588], [8.08997684086, 54.8000145534]]]]}
Croatia|{\"type\": \"MultiPolygon\", \"coordinates\": [[[[13.6569755388, 42.47999136], [19.3904757016, 42.47999136], [19.3904757016, 46.5037509222], [13.6569755388, 46.5037509222], [13.6569755388, 42.47999136]]]]}
Germany|{\"type\": \"MultiPolygon\", \"coordinates\": [[[[5.98865807458, 47.3024876979], [15.0169958839, 47.3024876979], [15.0169958839, 54.983104153], [5.98865807458, 54.983104153], [5.98865807458, 47.3024876979]]]]}
Hungary|{\"type\": \"MultiPolygon\", \"coordinates\": [[[[16.2022982113, 45.7594811061], [22.710531447, 45.7594811061], [22.710531447, 48.6238540716], [16.2022982113, 48.6238540716], [16.2022982113, 45.7594811061]]]]}
Portugal|{\"type\": \"MultiPolygon\", \"coordinates\": [[[[-9.52657060387, 36.838268541], [-6.3890876937, 36.838268541], [-6.3890876937, 42.280468655], [-9.52657060387, 42.280468655], [-9.52657060387, 36.838268541]]]]}
Turkey|{\"type\": \"MultiPolygon\", \"coordinates\": [[[[26.0433512713, 35.8215347357], [44.7939896991, 35.8215347357], [44.7939896991, 42.1414848903], [26.0433512713, 42.1414848903], [26.0433512713, 35.8215347357]]]]}
Latvia|{\"type\": \"MultiPolygon\", \"coordinates\": [[[[21.0558004086, 55.61510692], [28.1767094256, 55.61510692], [28.1767094256, 57.9701569688], [21.0558004086, 57.9701569688], [21.0558004086, 55.61510692]]]]}
Lithuania|{\"type\": \"MultiPolygon\", \"coordinates\": [[[[21.0558004086, 53.9057022162], [26.5882792498, 53.9057022162], [26.5882792498, 56.3725283881], [21.0558004086, 56.3725283881], [21.0558004086, 53.9057022162]]]]}
Luxembourg|{\"type\": \"MultiPolygon\", \"coordinates\": [[[[5.67405195478, 49.4426671413], [6.24275109216, 49.4426671413], [6.24275109216, 50.1280516628], [5.67405195478, 50.1280516628], [5.67405195478, 49.4426671413]]]]}
Poland|{\"type\": \"MultiPolygon\", \"coordinates\": [[[[14.0745211117, 49.0273953314], [24.0299857927, 49.0273953314], [24.0299857927, 54.8515359564], [14.0745211117, 54.8515359564], [14.0745211117, 49.0273953314]]]]}
Estonia|{\"type\": \"MultiPolygon\", \"coordinates\": [[[[23.3397953631, 57.4745283067], [28.1316992531, 57.4745283067], [28.1316992531, 59.6110903998], [23.3397953631, 59.6110903998], [23.3397953631, 57.4745283067]]]]}
Iceland|{\"type\": \"MultiPolygon\", \"coordinates\": [[[[-24.3261840479, 63.4963829617], [-13.609732225, 63.4963829617], [-13.609732225, 66.5267923041], [-24.3261840479, 66.5267923041], [-24.3261840479, 63.4963829617]]]]}
Armenia|{\"type\": \"MultiPolygon\", \"coordinates\": [[[[43.5827458026, 38.7412014837], [46.5057198423, 38.7412014837], [46.5057198423, 41.2481285671], [43.5827458026, 41.2481285671], [43.5827458026, 38.7412014837]]]]}
Albania|{\"type\": \"MultiPolygon\", \"coordinates\": [[[[19.3044861183, 39.624997667], [21.0200403175, 39.624997667], [21.0200403175, 42.6882473822], [19.3044861183, 42.6882473822], [19.3044861183, 39.624997667]]]]}
Italy|{\"type\": \"MultiPolygon\", \"coordinates\": [[[[6.7499552751, 36.619987291], [18.4802470232, 36.619987291], [18.4802470232, 47.1153931748], [6.7499552751, 47.1153931748], [6.7499552751, 36.619987291]]]]}
Austria|{\"type\": \"MultiPolygon\", \"coordinates\": [[[[9.47996951665, 46.4318173285], [16.9796667823, 46.4318173285], [16.9796667823, 49.0390742051], [9.47996951665, 49.0390742051], [9.47996951665, 46.4318173285]]]]}
Azerbaijan|{\"type\": \"MultiPolygon\", \"coordinates\": [[[[44.7939896991, 38.2703775091], [50.3928210793, 38.2703775091], [50.3928210793, 41.8606751572], [44.7939896991, 41.8606751572], [44.7939896991, 38.2703775091]]]]}
Ireland|{\"type\": \"MultiPolygon\", \"coordinates\": [[[[-9.97708574059, 51.6693012559], [-6.03298539878, 51.6693012559], [-6.03298539878, 55.1316222195], [-9.97708574059, 55.1316222195], [-9.97708574059, 51.6693012559]]]]}
Spain|{\"type\": \"MultiPolygon\", \"coordinates\": [[[[-9.39288367353, 35.946850084], [3.03948408368, 35.946850084], [3.03948408368, 43.7483377142], [-9.39288367353, 43.7483377142], [-9.39288367353, 35.946850084]]]]}
Montenegro|{\"type\": \"MultiPolygon\", \"coordinates\": [[[[18.45, 41.87755], [20.3398, 41.87755], [20.3398, 43.52384], [18.45, 43.52384], [18.45, 41.87755]]]]}
Moldova|{\"type\": \"MultiPolygon\", \"coordinates\": [[[[26.6193367856, 45.4882831895], [30.0246586443, 45.4882831895], [30.0246586443, 48.4671194525], [26.6193367856, 48.4671194525], [26.6193367856, 45.4882831895]]]]}
Serbia|{\"type\": \"MultiPolygon\", \"coordinates\": [[[[18.82982, 42.2452243971], [22.9860185076, 42.2452243971], [22.9860185076, 46.1717298447], [18.82982, 46.1717298447], [18.82982, 42.2452243971]]]]}
Georgia|{\"type\": \"MultiPolygon\", \"coordinates\": [[[[39.9550085793, 41.0644446885], [46.6379081561, 41.0644446885], [46.6379081561, 43.553104153], [39.9550085793, 43.553104153], [39.9550085793, 41.0644446885]]]]}
Macedonia|{\"type\": \"MultiPolygon\", \"coordinates\": [[[[20.46315, 40.8427269557], [22.9523771502, 40.8427269557], [22.9523771502, 42.3202595078], [20.46315, 42.3202595078], [20.46315, 40.8427269557]]]]}
Ukraine|{\"type\": \"MultiPolygon\", \"coordinates\": [[[[22.0856083513, 44.3614785833], [40.0807890155, 44.3614785833], [40.0807890155, 52.3350745713], [22.0856083513, 52.3350745713], [22.0856083513, 44.3614785833]]]]}
